workerid,proliferate.condition,accuracy,coding,failed_audio,failed_images,failed_video,internal_node_id,lex_code,response,result,rt,sib_code,slider_start,spk,stimulus,success,time_elapsed,timeout,trial_index,trial_type,triplet_id,error
955,list2,,,,,,0.0-6.0-0.2,neutral,1066,,4219,control,5000,246,audio/246_CN10.wav,,101857,,10,audio-slider-response,10,
955,list2,,,,,,0.0-6.0-1.2,,,,,,,,,,102361,,11,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.3,neutral,776,,3291,control,5000,246,audio/246_CN1.wav,,105648,,12,audio-slider-response,1,
955,list2,,,,,,0.0-6.0-1.3,,,,,,,,,,106155,,13,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.4,neutral,694,,7139,control,5000,246,audio/246_CN8.wav,,113296,,14,audio-slider-response,8,
955,list2,,,,,,0.0-6.0-1.4,,,,,,,,,,113808,,15,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.5,neutral,1025,,4048,control,5000,246,audio/246_CN16.wav,,117864,,16,audio-slider-response,16,
955,list2,,,,,,0.0-6.0-1.5,,,,,,,,,,118385,,17,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.6,neutral,1128,,5451,control,5000,246,audio/246_CN18.wav,,123840,,18,audio-slider-response,18,
955,list2,,,,,,0.0-6.0-1.6,,,,,,,,,,124347,,19,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.7,neutral,8540,,4429,low,5000,723,audio/723_SN2_low.wav,,128777,,20,audio-slider-response,2,
955,list2,,,,,,0.0-6.0-1.7,,,,,,,,,,129280,,21,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.8,neutral,1418,,5459,high,5000,246,audio/246_SN7_high.wav,,134737,,22,audio-slider-response,7,
955,list2,,,,,,0.0-6.0-1.8,,,,,,,,,,135239,,23,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.9,neutral,8706,,4379,control,5000,723,audio/723_CN20.wav,,139617,,24,audio-slider-response,20,
955,list2,,,,,,0.0-6.0-1.9,,,,,,,,,,140120,,25,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.10,neutral,7961,,4739,high,5000,723,audio/723_SN7_high.wav,,144856,,26,audio-slider-response,7,
955,list2,,,,,,0.0-6.0-1.10,,,,,,,,,,145358,,27,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.11,neutral,3095,,4219,mid,5000,246,audio/246_SN20_mid.wav,,149576,,28,audio-slider-response,20,
955,list2,,,,,,0.0-6.0-1.11,,,,,,,,,,150086,,29,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.12,neutral,9120,,3939,low,5000,723,audio/723_SN16_low.wav,,154032,,30,audio-slider-response,16,
955,list2,,,,,,0.0-6.0-1.12,,,,,,,,,,154536,,31,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.13,neutral,7402,,2691,mid,5000,723,audio/723_SN15_mid.wav,,157233,,32,audio-slider-response,15,
955,list2,,,,,,0.0-6.0-1.13,,,,,,,,,,157747,,33,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.14,neutral,7899,,3531,control,5000,723,audio/723_CN9.wav,,161281,,34,audio-slider-response,9,
955,list2,,,,,,0.0-6.0-1.14,,,,,,,,,,161784,,35,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.15,neutral,,,,control,5000,246,audio/246_CN13.wav,,171788,,36,audio-slider-response,13,
955,list2,,,,,,0.0-6.0-1.15,,,,,,,,,,172297,,37,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.16,neutral,8375,,3192,control,5000,723,audio/723_CN14.wav,,175489,,38,audio-slider-response,14,
955,list2,,,,,,0.0-6.0-1.16,,,,,,,,,,175992,,39,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.17,neutral,2246,,3920,control,5000,246,audio/246_CN17.wav,,179913,,40,audio-slider-response,17,
955,list2,,,,,,0.0-6.0-1.17,,,,,,,,,,180415,,41,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.18,neutral,3406,,5360,control,5000,246,audio/246_CN5.wav,,185785,,42,audio-slider-response,5,
955,list2,,,,,,0.0-6.0-1.18,,,,,,,,,,186297,,43,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.19,neutral,3530,,3291,low,5000,246,audio/246_SN17_low.wav,,189593,,44,audio-slider-response,17,
955,list2,,,,,,0.0-6.0-1.19,,,,,,,,,,190115,,45,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.20,neutral,7381,,2379,control,5000,723,audio/723_CN2.wav,,192497,,46,audio-slider-response,2,
955,list2,,,,,,0.0-6.0-1.20,,,,,,,,,,193003,,47,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.21,neutral,2640,,4000,control,5000,246,audio/246_CN9.wav,,197001,,48,audio-slider-response,9,
955,list2,,,,,,0.0-6.0-1.21,,,,,,,,,,197504,,49,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.22,neutral,8520,,6061,control,5000,723,audio/723_CN4.wav,,203568,,50,audio-slider-response,4,
955,list2,,,,,,0.0-6.0-1.22,,,,,,,,,,204070,,51,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.23,neutral,7754,,4701,control,5000,723,audio/723_CN8.wav,,208772,,52,audio-slider-response,8,
955,list2,,,,,,0.0-6.0-1.23,,,,,,,,,,209276,,53,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.24,neutral,7836,,4971,control,5000,723,audio/723_CN16.wav,,214253,,54,audio-slider-response,16,
955,list2,,,,,,0.0-6.0-1.24,,,,,,,,,,214757,,55,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.25,neutral,8313,,2600,control,5000,723,audio/723_CN15.wav,,217357,,56,audio-slider-response,15,
955,list2,,,,,,0.0-6.0-1.25,,,,,,,,,,217859,,57,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.26,neutral,8602,,3072,high,5000,723,audio/723_SN13_high.wav,,220925,,58,audio-slider-response,13,
955,list2,,,,,,0.0-6.0-1.26,,,,,,,,,,221427,,59,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.27,neutral,3986,,3040,low,5000,246,audio/246_SN4_low.wav,,224473,,60,audio-slider-response,4,
955,list2,,,,,,0.0-6.0-1.27,,,,,,,,,,224985,,61,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.28,neutral,7029,,7720,control,5000,723,audio/723_CN5.wav,,232705,,62,audio-slider-response,5,
955,list2,,,,,,0.0-6.0-1.28,,,,,,,,,,233207,,63,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.29,neutral,6781,,4408,control,5000,723,audio/723_CN7.wav,,237621,,64,audio-slider-response,7,
955,list2,,,,,,0.0-6.0-1.29,,,,,,,,,,238124,,65,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.30,neutral,7050,,3419,control,5000,723,audio/723_CN3.wav,,241548,,66,audio-slider-response,3,
955,list2,,,,,,0.0-6.0-1.30,,,,,,,,,,242057,,67,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.31,neutral,3944,,3952,mid,5000,246,audio/246_SN18_mid.wav,,246013,,68,audio-slider-response,18,
955,list2,,,,,,0.0-6.0-1.31,,,,,,,,,,246527,,69,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.32,neutral,3571,,7109,high,5000,246,audio/246_SN14_high.wav,,253636,,70,audio-slider-response,14,
955,list2,,,,,,0.0-6.0-1.32,,,,,,,,,,254154,,71,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.33,neutral,7112,,7779,mid,5000,723,audio/723_SN5_mid.wav,,261940,,72,audio-slider-response,5,
955,list2,,,,,,0.0-6.0-1.33,,,,,,,,,,262444,,73,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.34,neutral,7816,,5171,mid,5000,723,audio/723_SN20_mid.wav,,267612,,74,audio-slider-response,20,
955,list2,,,,,,0.0-6.0-1.34,,,,,,,,,,268115,,75,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.35,neutral,3116,,3909,control,5000,246,audio/246_CN2.wav,,272028,,76,audio-slider-response,2,
955,list2,,,,,,0.0-6.0-1.35,,,,,,,,,,272533,,77,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.36,neutral,3219,,3709,control,5000,246,audio/246_CN14.wav,,276244,,78,audio-slider-response,14,
955,list2,,,,,,0.0-6.0-1.36,,,,,,,,,,276748,,79,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.37,neutral,2888,,3451,control,5000,246,audio/246_CN19.wav,,280196,,80,audio-slider-response,19,
955,list2,,,,,,0.0-6.0-1.37,,,,,,,,,,280702,,81,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.38,neutral,3157,,4672,low,5000,246,audio/246_SN10_low.wav,,285366,,82,audio-slider-response,10,
955,list2,,,,,,0.0-6.0-1.38,,,,,,,,,,285869,,83,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.39,neutral,7443,,3589,high,5000,723,audio/723_SN3_high.wav,,289461,,84,audio-slider-response,3,
955,list2,,,,,,0.0-6.0-1.39,,,,,,,,,,289964,,85,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.40,neutral,3530,,3939,low,5000,246,audio/246_SN16_low.wav,,293901,,86,audio-slider-response,16,
955,list2,,,,,,0.0-6.0-1.40,,,,,,,,,,294409,,87,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.41,neutral,3219,,4269,mid,5000,246,audio/246_SN9_mid.wav,,298685,,88,audio-slider-response,9,
955,list2,,,,,,0.0-6.0-1.41,,,,,,,,,,299189,,89,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.42,neutral,3261,,4611,control,5000,246,audio/246_CN7.wav,,303805,,90,audio-slider-response,7,
955,list2,,,,,,0.0-6.0-1.42,,,,,,,,,,304311,,91,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.43,neutral,3634,,3771,control,5000,246,audio/246_CN4.wav,,308077,,92,audio-slider-response,4,
955,list2,,,,,,0.0-6.0-1.43,,,,,,,,,,308592,,93,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.44,neutral,7940,,3960,control,5000,723,audio/723_CN17.wav,,312549,,94,audio-slider-response,17,
955,list2,,,,,,0.0-6.0-1.44,,,,,,,,,,313058,,95,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.45,neutral,7629,,4952,high,5000,723,audio/723_SN1_high.wav,,318012,,96,audio-slider-response,1,
955,list2,,,,,,0.0-6.0-1.45,,,,,,,,,,318517,,97,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.46,neutral,7381,,3200,low,5000,723,audio/723_SN21_low.wav,,321725,,98,audio-slider-response,21,
955,list2,,,,,,0.0-6.0-1.46,,,,,,,,,,322229,,99,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.47,neutral,3282,,3731,high,5000,246,audio/246_SN13_high.wav,,325965,,100,audio-slider-response,13,
955,list2,,,,,,0.0-6.0-1.47,,,,,,,,,,326469,,101,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.48,neutral,7816,,4861,mid,5000,723,audio/723_SN19_mid.wav,,331333,,102,audio-slider-response,19,
955,list2,,,,,,0.0-6.0-1.48,,,,,,,,,,331854,,103,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.49,neutral,8478,,4541,mid,5000,723,audio/723_SN9_mid.wav,,336405,,104,audio-slider-response,9,
955,list2,,,,,,0.0-6.0-1.49,,,,,,,,,,336909,,105,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.50,neutral,3075,,4021,high,5000,246,audio/246_SN1_high.wav,,340932,,106,audio-slider-response,1,
955,list2,,,,,,0.0-6.0-1.50,,,,,,,,,,341441,,107,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.51,neutral,2660,,3451,control,5000,246,audio/246_CN15.wav,,344885,,108,audio-slider-response,15,
955,list2,,,,,,0.0-6.0-1.51,,,,,,,,,,345388,,109,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.52,neutral,7754,,4880,high,5000,723,audio/723_SN14_high.wav,,350269,,110,audio-slider-response,14,
955,list2,,,,,,0.0-6.0-1.52,,,,,,,,,,350773,,111,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.53,neutral,3571,,7141,mid,5000,246,audio/246_SN5_mid.wav,,357917,,112,audio-slider-response,5,
955,list2,,,,,,0.0-6.0-1.53,,,,,,,,,,358419,,113,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.54,neutral,7360,,3752,control,5000,723,audio/723_CN1.wav,,362172,,114,audio-slider-response,1,
955,list2,,,,,,0.0-6.0-1.54,,,,,,,,,,362675,,115,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.55,neutral,7692,,3771,low,5000,723,audio/723_SN4_low.wav,,366454,,116,audio-slider-response,4,
955,list2,,,,,,0.0-6.0-1.55,,,,,,,,,,366964,,117,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.56,neutral,7195,,5509,control,5000,723,audio/723_CN21.wav,,372484,,118,audio-slider-response,21,
955,list2,,,,,,0.0-6.0-1.56,,,,,,,,,,373002,,119,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.57,neutral,7422,,5371,control,5000,723,audio/723_CN18.wav,,378373,,120,audio-slider-response,18,
955,list2,,,,,,0.0-6.0-1.57,,,,,,,,,,378884,,121,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.58,neutral,3240,,7379,control,5000,246,audio/246_CN21.wav,,386272,,122,audio-slider-response,21,
955,list2,,,,,,0.0-6.0-1.58,,,,,,,,,,386774,,123,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.59,neutral,,,,control,5000,723,audio/723_CN10.wav,,396795,,124,audio-slider-response,10,
955,list2,,,,,,0.0-6.0-1.59,,,,,,,,,,397299,,125,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.60,neutral,,,,mid,5000,723,audio/723_SN18_mid.wav,,407306,,126,audio-slider-response,18,
955,list2,,,,,,0.0-6.0-1.60,,,,,,,,,,407824,,127,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.61,neutral,,,,control,5000,246,audio/246_CN3.wav,,417845,,128,audio-slider-response,3,
955,list2,,,,,,0.0-6.0-1.61,,,,,,,,,,418354,,129,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.62,neutral,,,,low,5000,246,audio/246_SN21_low.wav,,428366,,130,audio-slider-response,21,
955,list2,,,,,,0.0-6.0-1.62,,,,,,,,,,428884,,131,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.63,neutral,,,,control,5000,246,audio/246_CN20.wav,,438895,,132,audio-slider-response,20,
955,list2,,,,,,0.0-6.0-1.63,,,,,,,,,,439414,,133,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.64,neutral,2474,,4152,mid,5000,246,audio/246_SN15_mid.wav,,443569,,134,audio-slider-response,15,
955,list2,,,,,,0.0-6.0-1.64,,,,,,,,,,444085,,135,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.65,neutral,2308,,4509,mid,5000,246,audio/246_SN19_mid.wav,,448605,,136,audio-slider-response,19,
955,list2,,,,,,0.0-6.0-1.65,,,,,,,,,,449124,,137,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.66,neutral,7940,,4688,low,5000,723,audio/723_SN10_low.wav,,453824,,138,audio-slider-response,10,
955,list2,,,,,,0.0-6.0-1.66,,,,,,,,,,454337,,139,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.67,neutral,8685,,3461,control,5000,723,audio/723_CN13.wav,,457827,,140,audio-slider-response,13,
955,list2,,,,,,0.0-6.0-1.67,,,,,,,,,,458335,,141,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.68,neutral,8085,,6832,control,5000,723,audio/723_CN19.wav,,465168,,142,audio-slider-response,19,
955,list2,,,,,,0.0-6.0-1.68,,,,,,,,,,465684,,143,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.69,neutral,2371,,4139,high,5000,246,audio/246_SN3_high.wav,,469832,,144,audio-slider-response,3,
955,list2,,,,,,0.0-6.0-1.69,,,,,,,,,,470343,,145,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.70,neutral,1770,,3461,low,5000,246,audio/246_SN2_low.wav,,473808,,146,audio-slider-response,2,
955,list2,,,,,,0.0-6.0-1.70,,,,,,,,,,474313,,147,html-keyboard-response,,
955,list2,,,,,,0.0-6.0-0.71,neutral,8665,,4349,high,5000,723,audio/723_SN8_high.wav,,478661,,148,audio-slider-response,8,
955,list2,,,,,,0.0-6.0-1.71,,,,,,,,,,479175,,149,html-keyboard-response,,
955,list2,,,,,,0.0-7.0,,0,,11398,,,,"<p><font size='3'>You have completed the listening trials. You will now complete a short questionnaire. During the questionnaire, you will see a series of statements alongside a scale. Click along the scale to indicate how much you agree or disagree with the statement. Upon completion of the questionnaire, you will be asked to fill out an optional demographic survey. <br><br>When you're ready to begin the questionnaire, click ‘Continue’.</font></p>",,490577,,150,html-button-response,,
955,list2,,POSITIVE,,,,0.0-8.0-0.0,,6988,,12897,,5000,,Mothers should work only if necessary.<br><br>,,503477,,151,html-slider-response,,
955,list2,,NEGATIVE,,,,0.0-8.0-0.1,,10000,,6009,,5000,,People should be treated the same regardless of their sex.<br><br>,,509489,,152,html-slider-response,,
955,list2,,POSITIVE,,,,0.0-8.0-0.2,,2537,,6390,,5000,,Mothers should make most decisions about how children are brought up.<br><br>,,515881,,153,html-slider-response,,
955,list2,,POSITIVE,,,,0.0-8.0-0.3,,6097,,6358,,5000,,Men are more sexual than women.<br><br>,,522241,,154,html-slider-response,,
955,list2,,POSITIVE,,,,0.0-8.0-0.4,,6594,,7798,,5000,,Some types of work are just not appropriate for women.<br><br>,,530041,,155,html-slider-response,,
955,list2,,NEGATIVE,,,,0.0-8.0-0.5,,8437,,10097,,5000,,The freedom that children are given should be determined by their age and maturity level and not by their sex.<br><br>,,540140,,156,html-slider-response,,
955,list2,,POSITIVE,,,,0.0-8.0-0.6,,6243,,8190,,5000,,A father’s major responsibility is to provide financially for his children.<br><br>,,548332,,157,html-slider-response,,
955,list2,,NEGATIVE,,,,0.0-8.0-0.7,,9100,,7654,,5000,,We should stop thinking about whether people are male or female and focus on other characteristics.<br><br>,,555988,,158,html-slider-response,,
955,list2,,NEGATIVE,,,,0.0-8.0-0.8,,5642,,12359,,5000,,Tasks around the house should not be assigned by sex.<br><br>,,568349,,159,html-slider-response,,
955,list2,,POSITIVE,,,,0.0-8.0-0.9,,7050,,16318,,5000,,Only some types of work are appropriate for both men and women.<br><br>,,584668,,160,html-slider-response,,
955,list2,,POSITIVE,,,,0.0-8.0-0.10,,3323,,11486,,5000,,Girls should be protected and watched over more than boys.<br><br>,,596156,,161,html-slider-response,,
955,list2,,POSITIVE,,,,0.0-8.0-0.11,,3033,,7455,,5000,,"For many important jobs, it is better to choose men instead of women.<br><br>",,603612,,162,html-slider-response,,
955,list2,,NEGATIVE,,,,0.0-8.0-0.12,,7713,,5759,,5000,,People can be both aggressive and nurturing regardless of sex.<br><br>,,609373,,163,html-slider-response,,
955,list2,,,,,,0.0-9.0,,0,,5278,,,,"<p><font size='3'>You have completed the questionnaire. There will now be an optional survey. Please answer the following questions if you feel comfortable doing so. If you do not wish to answer a question, please leave it blank. <br><br>When you're ready to procede, click ‘Continue’.</font></p>",,614652,,164,html-button-response,,
955,list2,[],,,,,0.0-10.0,,"{'age': '25', 'race': 'White', 'P0_Q0': None, 'enjoy': 'Better than the average experiment', 'gender': 'Female', 'region': 'Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Hold a higher degree', 'political': 'Somewhat Conservative'}",,100770,,,,,,715721,,165,survey,,
955,list2,,,,,,0.0-11.0,,0,,2173,,,,Thank you for your time! Please click 'Finish' and then wait a moment until you're directed back to Prolific.<br><br>,,717896,,166,html-button-response,,
952,list2,,,[],[],[],0.0-0.0,,,,,,,,,True,66,False,0,preload,,
952,list2,,,,,,0.0-1.0,,0,,1850,,,,"<p><font size='3'>DESCRIPTION: You are invited to participate in a research study. Its general purpose is to understand how people perceive speech. We are interested in how people make use of varying properties of language to infer social information about a speaker. In this study, you will hear spoken sentences, and you will be asked to make simple decisions about the sentences you hear. Following this, you will be asked to complete a short questionnaire, where you will indicate on a sliding scale how much you agree or disagree with a series of statements. You will also be asked to complete an optional demographic survey. <br><br>TIME INVOLVEMENT: Your participation will take approximately 10 to 20 minutes. <br><br>RISKS AND BENEFITS: The foreseeable risks associated with this study are minimal. This judgment is based on a large body of experience with the same or similar procedures with people of similar ages, sex, origins, etc. Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confidentiality breach. There are no known benefits to you for participating in this study, and we cannot and do not guarantee or promise that you will receive any benefits from this study. You will help us to understand how people perceive spoken language. <br><br>PAYMENT: You will be paid at the posted rate. <br><br>PARTICIPANT RIGHTS: If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. The alternative is not to participate. You have the right to refuse to answer particular questions. The results of this research study may be presented at scientific or professional meetings or published in scientific journals. Your individual privacy will be maintained in all published and written data resulting from the study. In accordance with scientific norms, the data from this study may be used or shared with other researchers for future research (after removing personally identifying information) without additional consent from you. <br><br>CONTACT INFORMATION: If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, you should contact the Protocol Director Grace Brown at (616) 498-8188. If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306 USA. <br><br>WAIVER OF DOCUMENTATION: If you agree to participate in this research, please click the 'Continue' button. </font></p>",,1916,,1,html-button-response,,
952,list2,,,,,,0.0-2.0,,0,,7417,,,,"<p><font size='3'>This study requires you to listen to audio clips. To ensure you can adequately hear the audio presented in this study, the next page will have an audio attention check. Please wear headphones, and be prepared to adjust the volume on your device if necessary. <br><br> When you are ready to begin the audio attention check, click 'Start'. </font></p>",,9334,,2,html-button-response,,
952,list2,,,,,,0.0-3.0,,2,correct,2245,,,,audio/gift.wav,,11616,,3,audio-button-response,,
952,list2,,,,,,0.0-4.0,,0,,1934,,,,<p>Correct! You are ready to begin the study.</p>,,13551,,4,html-button-response,,
952,list2,,,,,,0.0-5.0,,0,,12930,,,,"<p><font size='3'>In this experiment, you will listen to a series of sentences, produced by different speakers. While listening to each sentence, you will be prompted to rate the social characteristics of its speaker. To rate the social characteristics of a speaker, click along the scale that appears on your screen. You may click along this scale after the speaker stops talking. Try to respond as quickly as you can. If you do not respond within ten seconds, the experiment will advance automatically. There will be a progress bar at the top of the screen. When you're ready to hear the first speaker, click ‘Start’. </font></p>",,26483,,5,html-button-response,,
952,list2,,,,,,0.0-6.0-0.0,neutral,,,,low,5000,246,audio/246_SN4_low.wav,,36486,,6,audio-slider-response,4,
952,list2,,,,,,0.0-6.0-1.0,,,,,,,,,,36987,,7,html-keyboard-response,,
952,list2,,,,,,0.0-6.0-0.1,neutral,3423,,6192,high,5000,723,audio/723_SN14_high.wav,,43183,,8,audio-slider-response,14,
952,list2,,,,,,0.0-6.0-1.1,,,,,,,,,,43685,,9,html-keyboard-response,,
952,list2,,,,,,0.0-6.0-0.2,neutral,405,,3877,low,5000,246,audio/246_SN16_low.wav,,47567,,10,audio-slider-response,16,
952,list2,,,,,,0.0-6.0-1.2,,,,,,,,,,48068,,11,html-keyboard-response,,
952,list2,,,,,,0.0-6.0-0.3,neutral,5613,,4928,high,5000,723,audio/723_SN7_high.wav,,52999,,12,audio-slider-response,7,
